,,,,,,,,,,,
Endings,,,,,,,,,,,
,sg,,pl,,,,,,,,
masc.st,-(e)s,,-e,,,,,,,,
neut.st,-(e)s,,-(r)(e),,,,,,,,
fem.st,---/(n),,-(e)n,,,,,,,,
m/n/f.wk,-(e)n,,-(e)n,,,,,,,,
,"des, der, des",,der,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Work (Book, Chapter)",CASE,DECL,"POS (1,2)",PREP,TEXT,PSR (AN+/-),PSE (AN+/-),ALIENABLE,POSSESSEE,PropN,Notes
A (0),GEN,fem.st,2,,an betrachtunge der hilgen scrift.,N,N,Abs,betrachtunge,N,
A (0),GEN,masc.st,2,,"van deme worde, dat dar geyt vte deme munde godes,",Y,Y,N,munt,N,
A (0),GEN,neut.st (?),1,,der hilgen lerer munt,Y,Y,N,munt,N,
A (0),GEN,fem.st,2,,de lere der hilgen scrift,N,Y,Y,lere,N,
A (0),DAT,masc.wk,2,an,vnde nym eyn bilde an vnseme heren Jhesu Christo,Y,N,N,bild,Y,
A (0_1),DAT,,2,van,Ichteswelke lude leset boke van Persevalen,Y,N,N,bok,Y,
A (0_1),DAT,,2,van,Ichteswelke lude leset boke van Persevalen unde van Tristram,Y,N,N,bok,Y,
A (0_1),DAT,,2,van,Ichteswelke lude leset boke van Persevalen unde van Tristram vnde van hern Didericke,Y,N,N,bok,Y,
A (0_2),DAT,neut.st,2,van,"Dat quam dar to, dat de wisesten seuen van deme lande ",N,Y,Abs,de wisesten seuen,N,
A (0_2),DAT,neut.st,2,van,"Do sprak he, men scholde ene geuen dem aller wisesten van deme lande",N,Y,Abs,aller wisesten,N,
A (0_3),DAT,,2,van,De eddele koningkynne van Saba,N,Y,N,koningkynne,Y,
A (0_3),GEN,masc.st,2,,de wisheit koningk Salomonis,Y,N,Abs,wisheit,Y,"noun group, gen '-s' not shown, final -s in name (?)"
A (0_4),DAT,,2,van,De eddele koningk van Kreken Philadelfus,N,Y,N,koningk,Y,
A (0_4),DAT,neut.wk,2,ute,de screuen eme de E vte deme yodeschen in dat krekesche.,N,N,Abs,de E,N,"possession if this refers to language, not if used pronominally"
A (0_4),GEN,fem.st,2,,an de boke der hilgen scrift,N,N,N,bok,N,religious: uniqueness = special treatment?
A (0_4),GEN,fem.st,2,,dat he lese vnde hore de boke der hilgen scrift,N,N,N,bok,N,
A (0_5) ,GEN,masc.st,1,,He wart seik vnde wart geuoret vor godes richte.,Y,N,Abs,richt,Y,
A (0_5) ,GEN,masc.st,2,,Do sprak de richter to em: 'Wat mannes bistu?' ,Y,0,?,?,N,~What [type] of man are you? - implicit category
A (0_5),GEN,masc.st,2,,van den seuen geuen des hilgen geystes,N,N,Y,geuen,,
A (0_5) ,GEN,masc.st,1,,in dat dudesche to godes loue ,Y,N,Abs,loue,Y,
A (0_5) ,DAT,neut.st,2,van,Dat bock wil ik to samne lesen van mannigerhande boke,N,N,Abs,bok,N,*Partitive construction
A (0_5) ,DAT,neut.st,2,van,Likerwis also de beyn dat honich to samne lesen van mannigerhande blomen,N,N,Abs,honich,N,*Partitive construction
A (0_6_1),GEN,masc.wk,2,,"leret my, welk syn de teyn gebot vnses heren.",Y,N,Abs,de teyn gebot,N (?),
A (1_1) ,GEN,masc.pl,2,,He gaff en synen hilgen engel ,N,Y,Part,en,N,*Quantifiable partitive
A (1_1) ,GEN,masc.st,ADV,,Des dages was he bouen ,,,Adv,,,
A (1_1) ,GEN,fem.wk,2,,vor de hette der sunnen,N,N,Abs,de hette,N,
A (1_1) ,GEN,fem.st - irr,ADV,,des nachtes myt eyme vure vor der dusternisse,,,Adv,,,
A (1_1) ,GEN,masc.pl,1,,dat Moyses tellen scholde alle de mannes namen,Y,N,N,namen,N,
A (1_1) ,DAT,,2,van,De konningk van Israel,N,Y,N,konningk,N,
A (1_1) ,GEN,masc.st,2,,dat se dat erste bot godes,Y,N,Abs,bot,Y,
A (1_2a),DAT,,2,van,De konningk van Babilonien,N,Y,N,konningk,,
A (1_2a),DAT,,2,van,Wij sin van yodescher art,Y,N,Adj,,Pro,
A (1_2a),GEN,masc.st,1,,des konninges spise hadden gegeten,Y,N,Y,spise,N,*Eten often goes with GEN oblique object
A (1_2a),GEN,masc.st,ADV,,den plecht me to singene des sunnauendes,,,Adv,,,
A (1_2a),GEN,neut.st,2,,Benedit sustu vppe dyme hilgen throne dines konningrikes,N,N,N,throne,N ,
A (1_2a),DAT,,2,van,sittest bouen der engel kore van cherubin,Y,N,Abs,kor,N ,
A (1_2a),GEN,neut.st,2,,in deme firmamente des hemmelrikes,N,N,Abs,firmament,N ,
A (1_2a),GEN,masc.st,1,,"Benedit gode, alle godes hantwerk",Y,N,Abs,hantwerk,Y,
A (1_2a),GEN,masc.st,1,,"Benediet god, alle godes engele.",Y,Y,N,engel,Y,
A (1_2a),GEN,masc.st,1,,"Benediet god, alle godes geyste.",Y,N,N,geyst,Y,
A (1_2a),GEN,masc.wk,1,,"Benediet god, alle mynschen kindere.",Y,Y,N,kind,N,
A (1_2a),GEN,masc.st,1,,"Benediet god, alle godes prestere.",Y,Y,Abs,prester,Y,
A (1_2a),GEN,masc.st,1,,"Benediet god, alle godes knechte.",Y,Y,Y,knecht,Y,
A (1_2a),GEN,fem.st,1,,"Benediet god, aller rechter lude geyst vnde sele.",Y,N,N,"geyst, sel",N,
A (1_2a),GEN,neut.st,2,,Benediet siestu in deme firmamente des hemelrikes ,N,N,Abs,firmament,N ,
A (1_2a),GEN,masc.st,1,,vnde de verde is gestalt alse godes sone.' ,Y,Y,N,son,Y,
A (1_2a),GEN,masc.st,2,,"Gaet her vt, gij knechte des groten godes.'",Y,Y,Y,knecht,Y,
A (1_2b),GEN,neut.st,2,,AIIe de vorsten dynes landes,N,N,Abs,vorst,N ,
A (1_2b),GEN,masc.st,ADV,,Des morgens was he vro vppe,,,Adv,,,
A (1_2c),DAT,,2,van,Do hadden de van Babilonien enen affgod,Y,N,Abs,affgod,,
A (1_2d),DAT,,2,van,Do was in deme lande eyn prophete van der yodeschen,Y,Y,Y,prophet,,
A (1_2d),GEN,neut.st,1,Rel PN,", de des eyn orsake weren",Pro,N,Abs,orsak,,
A (1_3),GEN,masc.st,1,,"Du schat dat bevinden, dat godes kraft groter ys wen alle dyne pyne.'",Y,N,Abs,kraft,Y,
A (1_3),GEN,masc.st,1,,vnde verbrande des volkes eyn grot deil,Y,N,Abs,deil,,
A (1_4),GEN,masc.st,2,,"Kynt leue, wultu dat erste bot godes wol holden vnde rechte",Y,N,Abs,bot,Y,
A (1_4),GEN,masc.pl,2,,heuet mynen vader gesat in den kor der hilgen patriarchen,Y,N,Y,kor,,
A (1_5),GEN,masc.st,2,,myt der huple des ouelen geystes,Abs,N,Abs,hulpe,,
A (1_5),GEN,masc.wk,1,,"""Day ys mynes heren borch",Y,N,N,borch,Y,
A (1_5),GEN,masc.wk,1,,ik byn here gekomen dor desses knapen willen,Y,N,Abs,willen,,
A (1_6),GEN,masc.st,1,,vnde name ok godes lycham nicht.,Y,Y,N,lycham,Y,
A (1_6),GEN,masc.wk,1,,"""… sta vppe des heydenen graue",Y,N,N,graue,,
A (1_6),GEN,masc.st,1,,"Kynt leue, wultu godes bolt holden",Y,N,Abs,bot,Y,
A (1_7),GEN,fem.wk,1,,"""…to eyner vrouwen hus tor herbergerge",Y,N,N,hus,,
A (1_7),GEN,masc.wk,2,,vnde beswor se bij deme namen vnses heren Jhesu Christi,Y,N,N,name,Y,
A (1_7),GEN,masc.wk,2,,Ik bede juw bij deme namen vnses heren Ihesu Christi,Y,N,N,name,Y,
A (1_8),GEN,fem.wk,1,,den men scrift in Sunte Agaten dage,Y,N,Abs,dag,Y,
A (1_9),GEN,masc.st,1,,"Kynt leue, wultu godes bot holden",Y,N,Abs,bot,Y,
A (1_10),GEN,masc.st,1,,Dar na worden se Sunte Peters jungeren,Y,Y,N,jungeren,Y,
A (1_10),GEN,masc.st,1,,Do vant Sunte Peter Clemens moder,Y,Y,N,moder,Y,
A (1_10),GEN,masc.st,1,,vnde Clemens moder vor mede,Y,Y,N,moder,Y,
A (1_10),DAT,fem.st,1,to,To Rome was eyn rike here,N,N,N,rik,Y,
A (1_11),GEN,masc.st,2,,"Kynt leue, wultu dat erste bot godes wol holden",Y,N,Abs,bot,Y,
A (1_13),GEN,masc.st,2,,Dar beswor de meyster Sathanase,Y,Y,Y,meyster,Y,*** sing gen form??
A (1_16),GEN,masc.st,1,,"""Ghat to Eufemianus hus",Y,N,N,hus,Y,
A (1_16),GEN,masc.st,1,,Do brochten se en kumme in Sunte Bonifacius kerken,Y,N,N,kerken,Y,
A (1_16),GEN,masc.pl,1,,Der eyn was Symon Magus,,,,PART PRONOUN,,
A (1_16),GEN,masc.st,1,,dat he hete Allexius vnde were Eufemianus sone,Y,Y,N,son,Y,
A (1_16),GEN,masc.st,1,,Dat kint gynk to der scholen de lerede sere vnde nam to an godes leue,Y,N,Abs,leue,Y,
A (1_17),DAT,fem.st,1,to,To Yndea was eyn koningk,N,Y,Y,koningk,Y,
A (1_17a),GEN,masc.st,1,,Do yrbarmede sijk godes sone Ihesus Chirstus,Y,Y,N,son,Y,
A (1_17a),GEN,masc.1,1,,Des konynges broder wart sere brouet,Y,Y,N,broder,,
A (1_17a),GEN,masc.1,1,,vnde vel vor des konynges vote ,Y,N,Abs,bot,,
A (1_17g),GEN,masc.1,1,,Do Yosaphates vader dat horde,Y,Y,N,vader,Y,
A (1_17g),GEN,masc.1,1,,Dar na starff Yosaphates vader.,Y,Y,N,vader,Y,
A (1_18),GEN,masc.st,1,,dat men dat erste bod nicht holt na godes willen,Y,N,Abs,willen,Y,
A (1_18a),GEN,masc.st,2,,"dat he vnnutliken swere bij vnseme heren gode, bij der martelie godes,",Y,N,Abs,martelie,Y,
A (1_18a),GEN,masc.st,2,," bij der martelie godes, bij deme dode godes,",Y,N,Abs,dod,Y,
A (1_18a),GEN,masc.st,2,,"bij vnseme heren gode, bij der martelie godes, bij deme lychamme godes,",Y,Y,N,lycham,Y,
A (2_1),GEN,masc.st,2,,vnde swor yo biden ogen godes.,Y,Y,N,ogen,Y,
A (2_1),GEN,masc.st,2,,"alse he vore wone was, bij den ogen godes.",Y,Y,N,ogen,Y,
A (2_5),GEN,masc.wk,1,,dat men dij geue Sunte Johannes Baptisten houet in eyme vate,Y,Y,N,houet,Y,
A (2_5),GEN,masc.st,1,,vnde bat vmme Sunte Johannes houet.,Y,Y,N,houet,Y,
A (2_6),GEN,masc.st,1,,Des nachtes wart he geuoret vor godes richte.,Y,N,Abs,richte,Y,
A (2_9),DAT,masc.st,2,to,vnde sande en to deme bisschuppe to Iherusalem,Y,N,Y,bischop,Y,
A (2_10),GEN,masc.st,2,,vnde vorde den hilgen licham godes to eyneme seken.,Y,Y,N,lycham,Y,
A (2_10),GEN,masc.st,1,,dat he kome vnde hore my de bicht vnde geue my godes licham.,Y,Y,N,lycham,Y,
A (2_10),GEN,masc.st,1,,dat he eme de bicht horen wolde vnde geuen em godes licham.,Y,Y,N,lycham,Y,
A (2_11),GEN,masc.st,1,,de scholde en helpen eyne stunde arbeiden vnde boren to godes denste,Y,N,Abs,denst,Y,
A (2_13),GEN,masc.st,1,,Do quam godes stemme vnde spark aldus,Y,N,N,stemme,Y,
A (2_13),GEN,masc.st,1,,darumme neschaltu nicht schympen vp vnse leuen fruwen vnde vppe godes hilgen,Y,N,Abs,hilgen,Y,
A (2_14),GEN,masc.st,1,,dat he nummer mer vppe godes hilgen schympen wolde.,Y,N,Abs,hilgen,Y,
A (2_14),GEN,masc.st,1,,"Kint leue, darumme ne schaltu godes hilgen nicht beschimpen.",Y,N,Abs,hilgen,Y,
A (2_15),GEN,masc.st,1,,to eyner tild sat eyn fruwe in Sunte Dominicus dage,Y,N,Abs,dag,Y,
A (2_15),GEN,masc.st,2,,dat se nummer schympen wolde vppe de hilgen godes,Y,N,Abs,hilgen,Y,
A (2_16),GEN,masc.st,2,,"Kynt leue, wultu dat andere bod godes wol holden",Y,N,Abs,bot,Y,
A (2_17),GEN,masc.st,1,,"Jhesu Chiste, leuendige godes sone",Y,Y,N,son,Y,
A (2_18),GEN,masc.st,2,,Des nachtes wart se geuoret vor dat gerichte godes,Y,N,Abs,gericht,Y,
A (2_18),GEN,masc.st,2,,dat du den namen godes gerne nomen schalt vnde eren.,Y,N,N,name,Y,
A (2_18),GEN,masc.st,2,,du schalt den benediden namen godes gerne anropen,Y,N,N,name,Y,
A (2_18),GEN,masc.st,1,,de eme boren to lidene dorch godes willen,Y,N,Abs,willen,Y,
A (2_18),GEN,masc.st,2,,en hedde se de benedide name godes nicht gesterket. ,Y,N,N,name,Y,
A (2_19),GEN,masc.st,2,,weder anvechtinghe des ouelen geystes,N,N,Abs,anvechting,,
A (2_21),GEN,masc.st,2,,"Kynt leue, hirumme schaltu den namen godes gerne anropen vnde eren",Y,N,N,name,Y,
A (2_21),GEN,masc.st,2,,Du neschalt den namen dynes godes nicht vorgeues an dij nemen.,Y,N,N,name,Y,
A (2_21),GEN,masc.st,2,,", so drechstu den namen godes vorgeues.",Y,N,N,name,Y,
A (2_22),GEN,masc.st,2,,"Kynt leue, du en schalt den namen dynes godes nicht vorgeues",Y,N,N,name,Y,
A (2_22),GEN,masc.st,2,,"We dat deyt, de heut den namen godes vorgeues an sijk genomen",Y,N,N,name,Y,
A (2_23),GEN,masc.st,2,,"Kynt, leue, du enschalt den namen dynes godes nicht vorgeues hebben",Y,N,N,name,Y,
A (2_24),GEN,masc.st,2,,"Kynt leue, du en schalt den namen dynes godes nicht vorgeues",Y,N,N,name,Y,
A (2_24),DAT,masc.st,2,van,"Dar van wil ik eij wat sagen, to deme ersten male van Sunte Vincencins",Y,N,Abs,mal,Y,
A (2_25),GEN,masc.st,2,,dat ik myt der hulpe godes mer mach liden,Y,N,Abs,hulpe,Y,
A (2_25),GEN,masc.st,2,,dat ik dij vorwynnen wil vnde alle dyne pyne myt der hulpe godes.,Y,N,Abs,hulpe,Y,
A (2_26),GEN,masc.st,1,,se weren bereyt to steruene dorch godes namen,Y,N,N,name,Y,
A (2_27),GEN,masc.st,2,,Wor men den namen godes nicht en nomet,Y,N,N,name,Y,
A (2_27),GEN,masc.st,2,,vnde legeden sijk vor de vote Sunte Longinus,Y,N,Abs,bot,Y,
A (2_28),GEN,masc.st,1,,dat yd godes namen vorsaken scholde,Y,N,N,name,Y,
A (2_30),GEN,masc.st,2,,Dar na let he de marter dorch den namen godes,Y,N,N,name,Y,
A (2_30),GEN,masc.st,2,,"Mynsche, du neschalt den namen dynes godes",Y,N,N,name,Y,
A (2_31),GEN,masc.st,1,,", dat he were godes sone",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Ik byn de hogeste godes kracht.,Y,N,Abs,kracht,Y,
A (2_31),GEN,masc.st,1,,"Werliken, dijt ys godes sone.'",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,"Konningk, wultu dat seen, dat ik godes sone  byn,",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Do mende de konningk alwares vnde helt ene vor godes sone.,Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,"Konningk, nu wil ik dij bewise, dat ik godes sone byn.",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Do genk Symon  to Sunte Peteres herberge,Y,N,Y,herberg,Y,
A (2_32),GEN,masc.st,1,,"Darna, wan he so vormeten wert, dat he sprekt, he sij Christus, godes sone",Y,Y,N,son,Y,
A (2_34),GEN,masc.st,1,,", de were godes sone",Y,Y,N,son,Y,
A (3_9),GEN,masc.st,1,,so schaltu des hilgen dages gerrie,N,N,Abs,gerrie,N,
A (3_9),GEN,masc.st,1,,so schaltu des hilgen dages gerrie godes wort horen,Y,N,Abs,wort,Y,
A (3_9),GEN,masc.st,2,,", wente dat wort godes heft grote nut",Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,in de kerken genk vnde horde dat godes wort,Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,lat dij dijt eyn lere wesen vnde hore gerne godes wort.,Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,"Kynt leue, du schalt godes wort gerne horen",Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,Horstu godes wort nicht gerne,Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Dat was eyn man, de wolde godes wort nicht gerne horen",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"de wile he leuede, wolde he godes wort nicht horen.'",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, lat dij dijt eyn lere syn vnde hore gerne godes wort",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, de schalt godes wort nicht hinderen.",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, lat dij dijt eyn lere sin vnde nehindere godes wort nicht.",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, alle de jenne, de godes wort gerne hinderen",Y,N,Abs,wort,Y,
A (3_14),GEN,masc.st,1,,Svnte Hylarius genk vt vnde wolde ghan in dat lant predeken godes wort,Y,N,Abs,wort,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes denste,Y,N,Abs,denste,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes denste,Y,N,Abs,denste,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes loue,Y,N,Abs,loue,Y,
A (3_29),GEN,masc.st,1,,Do sande ene Pylatus vorbat to konninge Herodes huß,Y,N,N,hus,Y,
A (3_29),GEN,masc.st,1,,Vort to konninge Herodes huß,Y,N,N,hus,Y,
A (3_32e),GEN,masc.st,2,,wart bekart van der gaue des hilgen geistes,N,N,Abs,gaue,,
A (3_33),GEN,masc.st,1,,"vnde quam to Sunte Elseben, Sunte Johannes moder",Y,Y,N,moder,Y,
A (3_33),GEN,masc.st,2,,van der anwisinge des hilgen geistes,N,N,Abs,anwising,,
A (5_2),GEN,masc.st,1,,Godes engel Sunte Mychael ,Y,Y,Y,engel,Y,
A (5_16a),GEN,masc.st,1,,"""Ik wolde leuer wesen Herodes swin dan sin kint",Y,Y,Y,swin,Y,
A (5_16a),GEN,masc.st,1,,"Do quam de mere in de stat, dat Herodes dot were.",Y,N,Abs,dot,Y,
A (5_18),GEN,masc.st,2,,"Do dachte se, dat yd were eyn bekoringe des ouelen geystes",N,N,Abs,bekoring,,
A (6_11),DAT,masc.st,1,,"""Do at de engel van deme honege eyn deil""",N,N,Abs,deil,,
A (6_21),GEN,masc.st,2,,eyn waninge des hilgen geistes,N,N,Abs,waning,,
A (8_3),GEN,fem.st,1,,Do bekande he syner sunde eyn deil,N,N,Abs,deil,,
A (9_22),GEN,masc.st,1,,"""Godes barmherticheit ys grot…",Y,N,Abs,barmherticheit,Y,
A (9_22),GEN,masc.st,1,,"""Godes richte is grundelos.",Y,N,Abs,richte,Y,
